achieved output:	0.077098
expected output:	0.000000

achieved output:	0.087741
expected output:	0.000000

achieved output:	0.056902
expected output:	0.000000

achieved output:	0.051756
expected output:	1.000000

achieved output:	0.067080
expected output:	0.000000

achieved output:	0.086566
expected output:	0.000000

achieved output:	0.054655
expected output:	1.000000

achieved output:	0.106439
expected output:	0.000000

achieved output:	0.037196
expected output:	1.000000

achieved output:	0.068097
expected output:	0.000000

achieved output:	0.093250
expected output:	0.000000

achieved output:	0.051371
expected output:	0.000000

achieved output:	0.130848
expected output:	0.000000

achieved output:	0.097431
expected output:	0.000000

achieved output:	0.049790
expected output:	1.000000

achieved output:	0.090209
expected output:	0.000000

achieved output:	0.101854
expected output:	0.000000

achieved output:	0.109174
expected output:	0.000000

achieved output:	0.058223
expected output:	0.000000

achieved output:	0.072773
expected output:	0.000000

achieved output:	0.128420
expected output:	0.000000

achieved output:	0.129368
expected output:	0.000000

achieved output:	0.053332
expected output:	0.000000

achieved output:	0.066304
expected output:	1.000000

achieved output:	0.083046
expected output:	1.000000

achieved output:	0.161430
expected output:	0.000000

achieved output:	0.056074
expected output:	0.000000

achieved output:	0.191308
expected output:	0.000000

achieved output:	0.162371
expected output:	0.000000

achieved output:	0.071261
expected output:	0.000000

achieved output:	0.110123
expected output:	0.000000

achieved output:	0.137281
expected output:	0.000000

achieved output:	0.068620
expected output:	0.000000

achieved output:	0.092061
expected output:	0.000000

achieved output:	0.159442
expected output:	0.000000

achieved output:	0.069371
expected output:	0.000000

achieved output:	0.138881
expected output:	0.000000

achieved output:	0.140361
expected output:	0.000000

achieved output:	0.087875
expected output:	0.000000

achieved output:	0.112430
expected output:	0.000000

achieved output:	0.064663
expected output:	1.000000

achieved output:	0.117508
expected output:	0.000000

achieved output:	0.053398
expected output:	0.000000

achieved output:	0.074012
expected output:	0.000000

achieved output:	0.086350
expected output:	0.000000

achieved output:	0.093822
expected output:	0.000000

achieved output:	0.102172
expected output:	0.000000

achieved output:	0.090548
expected output:	0.000000

achieved output:	0.087484
expected output:	0.000000

achieved output:	0.164171
expected output:	0.000000

achieved output:	0.104334
expected output:	0.000000

achieved output:	0.196518
expected output:	0.000000

achieved output:	0.124217
expected output:	0.000000

achieved output:	0.083302
expected output:	0.000000

achieved output:	0.113530
expected output:	0.000000

achieved output:	0.145420
expected output:	0.000000

achieved output:	0.180868
expected output:	0.000000

achieved output:	0.119502
expected output:	0.000000

achieved output:	0.158115
expected output:	0.000000

achieved output:	0.082051
expected output:	1.000000

achieved output:	0.117616
expected output:	0.000000

achieved output:	0.088651
expected output:	0.000000

achieved output:	0.130360
expected output:	0.000000

achieved output:	0.230135
